Name,Year,Oscars_ID,Won,imdb_rating,imdb_votes,box_office,metascore,rotten_tomatoes_rating
An Unmarried Woman,1978,51,No,7.2,"5,946",24000000,79,89
Kramer vs. Kramer,1979,52,Yes,7.8,"153,003",106260000,77,89
All That Jazz,1979,52,No,7.8,"34,584",37823676,72,87
Apocalypse Now,1979,52,No,8.4,"700,984",96042913,94,98
Breaking Away,1979,52,No,7.7,"25,109",16424918,91,95
Norma Rae,1979,52,No,7.3,"12,605",22228000,61,91
Ordinary People,1980,53,Yes,7.7,"55,963",54766923,86,89
Coal Miner's Daughter,1980,53,No,7.5,"20,123",67182787,87,86
The Elephant Man,1980,53,No,8.2,"255,412",26010864,78,92
Raging Bull,1980,53,No,8.1,"375,953",23383987,90,92
Tess,1979,53,No,7.3,"18,015",20093330,82,81
Chariots of Fire,1981,54,Yes,7.1,"65,061",58972904,78,83
Atlantic City,1980,54,No,7.3,"18,067",12729675,85,
On Golden Pond,1981,54,No,7.6,"34,400",119285432,68,91
Raiders of the Lost Ark,1981,54,No,8.4,"1,024,757",248159971,85,93
Reds,1981,54,No,7.3,"24,429",40382659,76,90
Gandhi,1982,55,Yes,8.0,"239,076",52767889,79,89
E.T. the Extra-Terrestrial,1982,55,No,7.9,"432,204",437345144,92,99
Missing,1982,55,No,7.7,"22,914",14000000,78,94
Tootsie,1982,55,No,7.4,"113,545",177200000,88,91
The Verdict,1982,55,No,7.7,"45,217",53977250,77,89
Terms of Endearment,1983,56,Yes,7.4,"64,448",108423489,79,82
The Big Chill,1983,56,No,7.1,"40,786",56399659,61,71
The Dresser,1983,56,No,7.5,"5,619",5310748,N/A,100
The Right Stuff,1983,56,No,7.8,"64,685",21192102,91,96
Tender Mercies,1983,56,No,7.3,"11,806",8443124,76,82
Amadeus,1984,57,Yes,8.4,"422,863",51973029,87,89
The Killing Fields,1984,57,No,7.8,"58,418",34700291,76,93
A Passage to India,1984,57,No,7.3,"20,300",27187653,78,79
Places in the Heart,1984,57,No,7.4,"13,039",34901614,70,89
A Soldier's Story,1984,57,No,7.2,"11,165",21821347,66,91
Out of Africa,1985,58,Yes,7.1,"85,028",87071205,69,63
The Color Purple,1985,58,No,7.7,"95,410",98467863,78,73
Kiss of the Spider Woman,1985,58,No,7.3,"17,158",17005229,80,86
Prizzi's Honor,1985,58,No,6.7,"25,916",26657534,84,85
Witness,1985,58,No,7.4,"103,058",68706993,76,93
Platoon,1986,59,Yes,8.1,"433,580",138530565,92,89
Children of a Lesser God,1986,59,No,7.2,"18,340",31853080,80,80
Hannah and Her Sisters,1986,59,No,7.8,"75,632",40084041,90,91
The Mission,1986,59,No,7.4,"64,833",17218023,55,66
A Room with a View,1985,59,No,7.2,"47,026",20966644,83,100
The Last Emperor,1987,60,Yes,7.7,"109,868",43984230,76,86
Broadcast News,1987,60,No,7.3,"33,624",51249404,84,98
Fatal Attraction,1987,60,No,6.9,"95,490",156645693,67,74
Hope and Glory,1987,60,No,7.3,"14,418",10021120,86,96
Moonstruck,1987,60,No,7.2,"66,306",80640528,83,92
Rain Man,1988,61,Yes,8.0,"539,730",172825435,65,88
The Accidental Tourist,1988,61,No,6.7,"17,128",32632093,53,82
Dangerous Liaisons,1988,61,No,7.6,"74,536",34670720,74,94
Mississippi Burning,1988,61,No,7.8,"107,921",34603943,65,79
Working Girl,1988,61,No,6.8,"61,593",63779477,73,83
Driving Miss Daisy,1989,62,Yes,7.3,"116,279",106593296,81,85
Born on the Fourth of July,1989,62,No,7.2,"114,564",70001698,75,84
Dead Poets Society,1989,62,No,8.1,"533,835",95860116,79,84
Field of Dreams,1989,62,No,7.5,"126,265",64431625,57,88
My Left Foot,1989,62,No,7.8,"78,852",14743391,97,98
Dances with Wolves,1990,63,Yes,8.0,"286,885",184208848,72,87
Awakenings,1990,63,No,7.8,"155,485",52096475,74,84
Ghost,1990,63,No,7.1,"232,635",217631306,52,75
The Godfather Part III,1990,63,No,7.6,"419,084",66761392,60,66
Goodfellas,1990,63,No,8.7,"1,236,150",46909721,92,94
The Silence of the Lambs,1991,64,Yes,8.6,"1,521,422",130742922,86,95
Beauty and the Beast,1991,64,No,8.0,"475,064",218967620,95,93
Bugsy,1991,64,No,6.8,"30,625",49114016,80,84
JFK,1991,64,No,8.0,"167,664",70405498,72,84
The Prince of Tides,1991,64,No,6.8,"19,376",74787599,65,68
Unforgiven,1992,65,Yes,8.2,"430,900",101167799,85,96
The Crying Game,1992,65,No,7.2,"59,373",62548947,90,95
A Few Good Men,1992,65,No,7.7,"283,159",141340178,62,84
Howards End,1992,65,No,7.4,"35,221",26126837,88,94
Scent of a Woman,1992,65,No,8.0,"323,457",63095253,59,85
Schindler's List,1993,66,Yes,9.0,"1,427,588",96898818,95,98
The Fugitive,1993,66,No,7.8,"314,437",183875760,87,96
In the Name of the Father,1993,66,No,8.1,"184,824",25096862,84,94
The Piano,1993,66,No,7.5,"93,869",40157856,89,90
The Remains of the Day,1993,66,No,7.8,"82,552",23237911,86,96
Forrest Gump,1994,67,Yes,8.8,"2,216,551",330455270,82,71
Four Weddings and a Funeral,1994,67,No,7.1,"163,251",52700832,81,96
Pulp Fiction,1994,67,No,8.9,"2,179,429",107928762,95,92
Quiz Show,1994,67,No,7.5,"72,565",24822619,92,96
The Shawshank Redemption,1994,67,No,9.3,"2,851,631",28767189,82,91
Braveheart,1995,68,Yes,8.3,"1,079,159",75609945,68,76
Apollo 13,1995,68,No,7.7,"311,949",173837933,77,96
Babe,1995,68,No,6.9,"132,541",63658910,83,97
The Postman (Il Postino),1994,68,No,N/A,N/A,,N/A,
Sense and Sensibility,1995,68,No,7.7,"123,548",43182776,84,97
The English Patient,1996,69,Yes,7.4,"197,965",78676425,87,86
Fargo,1996,69,No,8.1,"713,936",24611975,86,94
Jerry Maguire,1996,69,No,7.3,"283,214",153952592,77,84
Secrets & Lies,1996,69,No,N/A,N/A,,N/A,
Shine,1996,69,No,7.6,"56,241",35892330,87,91
Titanic,1997,70,Yes,7.9,"1,261,488",674292608,75,88
As Good as It Gets,1997,70,No,7.7,"315,316",148478011,67,86
The Full Monty,1997,70,No,7.2,"112,894",45950122,75,96
Good Will Hunting,1997,70,No,8.3,"1,042,254",138433435,70,97
L.A. Confidential,1997,70,No,8.2,"610,694",64616940,91,99
Shakespeare in Love,1998,71,Yes,7.1,"232,666",100317794,87,92
Elizabeth,1998,71,No,7.4,"104,131",30082699,75,83
Life Is Beautiful,1997,71,No,8.6,"735,014",57563264,59,81
Saving Private Ryan,1998,71,No,8.6,"1,473,062",217049603,91,94
The Thin Red Line,1998,71,No,7.6,"197,318",36400491,78,80
American Beauty,1999,72,Yes,8.3,"1,198,421",130096601,84,87
The Cider House Rules,1999,72,No,7.4,"103,861",57545092,75,71
The Green Mile,1999,72,No,8.6,"1,383,786",136801374,61,79
The Insider,1999,72,No,7.8,"178,539",29089912,84,96
The Sixth Sense,1999,72,No,8.2,"1,037,760",293506292,64,86
Gladiator,2000,73,Yes,8.5,"1,591,115",187705427,67,79
Chocolat,2000,73,No,7.3,"200,270",71509363,64,63
"Crouching Tiger, Hidden Dragon",2000,73,No,7.9,"279,563",128530421,94,98
Erin Brockovich,2000,73,No,7.4,"216,230",125595205,73,85
Traffic,2000,73,No,7.6,"217,868",124115725,86,93
A Beautiful Mind,2001,74,Yes,8.2,"977,207",170742341,72,74
Gosford Park,2001,74,No,7.2,"92,690",41308615,90,87
In the Bedroom,2001,74,No,7.4,"42,161",35930604,86,93
The Lord of the Rings: The Fellowship of the Ring,2001,74,No,8.9,"1,973,498",316115420,92,91
Moulin Rouge!,2001,74,No,7.6,"296,690",57386607,66,75
Chicago,2002,75,Yes,7.2,"241,325",170687518,81,86
Gangs of New York,2002,75,No,7.5,"467,941",77812000,72,73
The Hours,2002,75,No,7.5,"137,723",41675994,80,79
The Lord of the Rings: The Two Towers,2002,75,No,8.8,"1,756,235",342952511,87,95
The Pianist,2002,75,No,8.5,"898,798",32577235,85,95
The Lord of the Rings: The Return of the King,2003,76,Yes,9.0,"1,945,271",379427292,94,94
Lost in Translation,2003,76,No,7.7,"481,597",44585453,91,95
Master and Commander: The Far Side of the World,2003,76,No,7.5,"235,586",93927920,81,85
Mystic River,2003,76,No,7.9,"479,113",90135191,84,89
Seabiscuit,2003,76,No,7.3,"76,205",120277854,72,78
Million Dollar Baby,2004,77,Yes,8.1,"714,233",100492203,86,90
The Aviator,2004,77,No,7.5,"379,980",102610330,77,86
Finding Neverland,2004,77,No,7.7,"211,162",51680613,67,83
Ray,2004,77,No,7.7,"156,142",75331600,73,79
Sideways,2004,77,No,7.5,"201,697",71503593,94,97
Crash,2005,78,Yes,8.0,34,,N/A,
Brokeback Mountain,2005,78,No,7.7,"378,058",83043761,87,88
Capote,2005,78,No,7.3,"139,161",28750530,88,89
"Good Night, and Good Luck",2005,78,No,7.4,"100,864",31558003,80,93
Munich,2005,78,No,7.5,"236,860",47403685,74,78
The Departed,2006,79,Yes,8.5,"1,401,137",132399394,85,91
Babel,2006,79,No,7.5,"315,217",34302837,69,69
Letters from Iwo Jima,2006,79,No,7.8,"168,819",13756082,89,91
Little Miss Sunshine,2006,79,No,7.8,"512,041",59891098,80,91
The Queen,2006,79,No,7.3,"115,374",56441711,90,92
No Country for Old Men,2007,80,Yes,8.2,"1,040,126",74283625,92,93
Atonement,2007,80,No,7.8,"295,777",50927067,85,83
Juno,2007,80,No,7.5,"544,264",143495265,81,94
Michael Clayton,2007,80,No,7.2,"172,820",49033882,82,90
There Will Be Blood,2007,80,No,8.2,"632,596",40222514,93,91
Slumdog Millionaire,2008,81,Yes,8.0,"871,594",141319928,84,91
The Curious Case of Benjamin Button,2008,81,No,7.8,"686,748",127509326,70,71
Frost/Nixon,2008,81,No,7.7,"111,647",18622031,80,93
Milk,2008,81,No,7.5,"178,723",31841299,83,93
The Reader,2008,81,No,7.6,"256,439",34194407,58,63
The Hurt Locker,2008,82,Yes,7.5,"470,421",17017811,95,97
Avatar,2009,82,No,7.9,"1,370,606",785221649,83,81
The Blind Side,2009,82,No,7.6,"356,827",255982860,53,66
District 9,2009,82,No,7.9,"709,655",115646235,81,90
An Education,2009,82,No,7.3,"137,581",12574914,85,93
Inglourious Basterds,2009,82,No,8.4,"1,552,320",120540719,69,89
Precious,2009,82,No,7.3,"115,411",47566524,78,92
A Serious Man,2009,82,No,7.0,"148,445",9228768,88,89
Up,2009,82,No,8.3,"1,110,727",293004164,88,98
Up in the Air,2009,82,No,7.4,"347,626",83823381,83,90
The King's Speech,2010,83,Yes,8.0,"702,258",138797449,88,94
Black Swan,2010,83,No,8.0,"812,031",106954678,79,85
The Fighter,2010,83,No,7.8,"384,882",93617009,79,91
Inception,2010,83,No,8.8,"2,504,988",292587330,74,87
The Kids Are All Right,2010,83,No,7.0,"133,782",20811365,86,92
127 Hours,2010,83,No,7.5,"396,480",18335230,82,93
The Social Network,2010,83,No,7.8,"748,405",96962694,95,96
Toy Story 3,2010,83,No,8.3,"880,359",415004880,92,98
True Grit,2010,83,No,7.6,"353,766",171243005,80,95
Winter's Bone,2010,83,No,7.1,"148,864",6531503,90,94
The Artist,2011,84,Yes,7.9,"247,328",44671682,89,95
The Descendants,2011,84,No,7.3,"249,915",82584160,84,87
Extremely Loud & Incredibly Close,2011,84,No,6.9,"104,667",31847881,46,45
The Help,2011,84,No,8.1,"485,901",169708112,62,76
Hugo,2011,84,No,7.5,"335,022",73864507,83,93
Midnight in Paris,2011,84,No,7.6,"445,411",56817045,81,93
Moneyball,2011,84,No,7.6,"456,514",75605492,87,94
The Tree of Life,2011,84,No,6.8,"182,721",13303319,85,85
War Horse,2011,84,No,7.2,"164,285",79884879,72,75
Argo,2012,85,Yes,7.7,"634,386",136025503,86,96
Amour,2012,85,No,7.9,"104,719",6739492,95,93
Beasts of the Southern Wild,2012,85,No,7.2,"84,661",12795746,86,87
Django Unchained,2012,85,No,8.5,"1,663,646",162805434,81,87
Life of Pi,2012,85,No,7.9,"658,565",124987023,79,86
Lincoln,2012,85,No,7.3,"270,119",182207973,87,90
Les Misérables,2012,85,No,7.5,"342,891",148809770,63,70
Silver Linings Playbook,2012,85,No,7.7,"735,932",132092958,81,92
Zero Dark Thirty,2012,85,No,7.4,"315,562",95720716,95,91
12 Years a Slave,2013,86,Yes,8.1,"732,993",56671993,96,95
American Hustle,2013,86,No,7.2,"497,284",150117807,90,92
Captain Phillips,2013,86,No,7.8,"486,090",107100855,82,93
Dallas Buyers Club,2013,86,No,7.9,"514,156",27298285,77,92
Gravity,2013,86,No,7.7,"854,997",274092705,96,96
Her,2013,86,No,8.0,"658,309",25568251,91,94
Nebraska,2013,86,No,7.7,"122,134",17654912,86,91
Philomena,2013,86,No,7.6,"103,325",37709979,77,91
The Wolf of Wall Street,2013,86,No,8.2,"1,545,718",116900694,75,80
Birdman or (The Unexpected Virtue of Ignorance),2014,87,Yes,7.7,"660,560",42340598,87,91
American Sniper,2014,87,No,7.3,"522,672",350159020,72,72
Boyhood,2014,87,No,7.9,"364,914",25352281,100,97
The Grand Budapest Hotel,2014,87,No,8.1,"873,943",59301324,88,92
The Imitation Game,2014,87,No,8.0,"813,828",91125683,71,90
Selma,2014,87,No,7.5,"94,795",52076908,79,99
The Theory of Everything,2014,87,No,7.7,"475,978",35893537,71,80
Whiplash,2014,87,No,8.5,"961,236",13092000,89,94
Spotlight,2015,88,Yes,8.1,"497,265",45055776,93,97
The Big Short,2015,88,No,7.8,"474,299",70259870,81,89
Bridge of Spies,2015,88,No,7.6,"324,987",72313754,81,91
Brooklyn,2015,88,No,7.5,"148,874",38322743,88,97
Mad Max: Fury Road,2015,88,No,8.1,"1,066,690",154280290,90,97
The Martian,2015,88,No,8.0,"908,117",228433663,80,91
The Revenant,2015,88,No,8.0,"857,318",183637894,76,78
Room,2015,88,No,8.1,"445,569",14677654,86,93
Moonlight,2016,89,Yes,7.4,"327,023",27854932,99,98
Arrival,2016,89,No,7.9,"750,198",100546139,81,94
Fences,2016,89,No,7.2,"116,281",57682904,79,92
Hacksaw Ridge,2016,89,No,8.1,"581,809",67209615,71,84
Hell or High Water,2016,89,No,7.6,"249,139",27007844,88,97
Hidden Figures,2016,89,No,7.8,"250,556",169607287,74,93
La La Land,2016,89,No,8.0,"649,733",151101803,94,91
Lion,2016,89,No,8.0,"248,336",51738905,69,84
Manchester by the Sea,2016,89,No,7.8,"306,622",47695371,96,96
The Shape of Water,2017,90,Yes,7.3,"442,263",63859435,87,92
Call Me by Your Name,2017,90,No,7.8,"307,238",18095701,94,94
Darkest Hour,2017,90,No,7.4,"216,961",56468410,75,84
Dunkirk,2017,90,No,7.8,"724,553",189740665,94,92
Get Out,2017,90,No,7.8,"678,214",176196665,85,98
Lady Bird,2017,90,No,7.4,"320,468",48958273,93,99
Phantom Thread,2017,90,No,7.4,"143,212",21198205,90,91
The Post,2017,90,No,7.2,"160,463",81903458,83,88
"Three Billboards Outside Ebbing, Missouri",2017,90,No,8.1,"546,966",54513740,88,90
Green Book,2018,91,Yes,8.2,"550,051",85080171,69,77
Black Panther,2018,91,No,7.3,"826,445",700426566,88,96
BlacKkKlansman,2018,91,No,7.5,"286,613",49275340,83,96
Bohemian Rhapsody,2018,91,No,7.9,"582,726",216668042,49,60
The Favourite,2018,91,No,7.5,"218,595",34366783,91,93
Roma,2018,91,No,7.7,"168,062",,96,96
A Star Is Born,2018,91,No,7.6,"412,762",215333122,88,90
Vice,2018,91,No,7.2,"159,705",47836282,61,65
Parasite,2019,92,Yes,8.5,"918,211",53369749,96,99
Ford v Ferrari,2019,92,No,8.1,"451,592",117624357,81,92
The Irishman,2019,92,No,7.8,"422,253",,94,95
Jojo Rabbit,2019,92,No,7.9,"430,982",33370906,58,80
Joker,2019,92,No,8.4,"1,450,964",335477657,59,69
Little Women,2019,92,No,7.8,"238,590",108101214,91,95
Marriage Story,2019,92,No,7.9,"338,763",,94,95
1917,2019,92,No,8.2,"658,357",159227644,78,89
Once Upon a Time in Hollywood,2019,92,No,7.6,"820,490",142502728,83,85
Nomadland,2020,93,Yes,7.3,"178,699",3700000,91,93
The Father,2020,93,No,8.2,"185,154",2122771,88,98
Judas and the Black Messiah,2021,93,No,7.4,"89,859",5478009,85,97
Mank,2020,93,No,6.8,"81,696",,79,83
Minari,2020,93,No,7.4,"94,214",3110580,89,98
Promising Young Woman,2020,93,No,7.5,"204,288",6460965,72,90
Sound of Metal,2019,93,No,7.7,"146,418",,82,97
The Trial of the Chicago 7,2020,93,No,7.7,"190,533",,76,89
CODA,2021,94,Yes,8.0,"159,579",,72,94
Belfast,2021,94,No,7.2,"89,163",9250870,75,86
Don't Look Up,2021,94,No,7.2,"584,846",,49,
Drive My Car,2021,94,No,7.5,"63,269",2352240,91,97
Dune,2021,94,No,8.0,"750,671",108327830,74,83
King Richard,2021,94,No,7.5,"132,138",15129285,76,90
Licorice Pizza,2021,94,No,7.1,"136,606",17318007,90,90
Nightmare Alley,2021,94,No,7.0,"161,068",11338107,70,80
The Power of the Dog,2021,94,No,6.8,"190,484",,89,94
West Side Story,2021,94,No,7.1,"93,281",38530322,85,91
Everything Everywhere All at Once,2022,95,Yes,7.8,"510,006",77191785,81,94
All Quiet on the Western Front,2022,95,No,7.8,"233,125",,76,90
Avatar: The Way of Water,2022,95,No,7.6,"477,467",684075767,67,76
The Banshees of Inisherin,2022,95,No,7.7,"237,912",10582266,87,96
Elvis,2022,95,No,7.3,"226,833",151040048,64,77
The Fabelmans,2022,95,No,7.5,"112,578",17348945,84,92
Tár,2022,95,No,7.4,"88,985",6773650,92,
Top Gun: Maverick,2022,95,No,8.3,"659,139",718732821,78,96
Triangle of Sadness,2022,95,No,7.3,"170,157",4608096,63,72
Women Talking,2022,95,No,6.9,"40,151",5456531,79,90
American Fiction,2023,96,Null,7.9,"7,284",11843226,N/A,
Anatomy of a Fall,2023,96,Null,7.8,"50,552",4178594,89,
Barbie,2023,96,Null,6.9,"466,959",636236401,80,88
The Holdovers,2023,96,Null,8.0,"42,200",18355790,N/A,
Killers of the Flower Moon,2023,96,Null,7.8,"145,185",67301042,89,93
Maestro,2023,96,Null,6.7,"32,441",,N/A,
Oppenheimer,2023,96,Null,8.4,"577,705",326102235,88,93
Past Lives,2023,96,Null,8.0,"56,324",10923569,94,
Poor Things,2023,96,Null,8.4,"56,009",24654769,N/A,
The Zone of Interest,2023,96,Null,8.0,"3,318",1000002,98,
